epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,10927.5,1.07574,0.97046,1.48855,0.82184,0.69485,0.75687,0.50139,1.16359,0.93719,1.5126,0.00038375,0.00038375,0.00038375
72,11076.8,1.07683,0.9724,1.49472,0.80075,0.72276,0.77365,0.48661,1.18325,0.92795,1.51958,0.000371375,0.000371375,0.000371375
73,11232.6,1.07356,0.94348,1.47214,0.81027,0.71902,0.77285,0.49912,1.18503,0.91235,1.52289,0.000359,0.000359,0.000359
74,11383.8,1.05699,0.9351,1.45975,0.81146,0.72312,0.78218,0.50629,1.1611,0.91997,1.50888,0.000346625,0.000346625,0.000346625
75,11539,1.06318,0.92593,1.47244,0.83448,0.70213,0.77623,0.50149,1.17535,0.91272,1.52063,0.00033425,0.00033425,0.00033425
76,11688.5,1.03176,0.91787,1.44182,0.81872,0.71973,0.78172,0.50008,1.19639,0.9198,1.52397,0.000321875,0.000321875,0.000321875
77,11842.6,1.05678,0.94052,1.46967,0.8154,0.7058,0.7827,0.51051,1.16617,0.89737,1.50902,0.0003095,0.0003095,0.0003095
78,11997.4,1.04658,0.92992,1.46305,0.80975,0.73188,0.77816,0.50462,1.18701,0.92745,1.53156,0.000297125,0.000297125,0.000297125
79,12148.7,1.04064,0.90843,1.44419,0.82063,0.75689,0.79929,0.52376,1.13989,0.86994,1.48122,0.00028475,0.00028475,0.00028475
80,12303.7,1.04081,0.90294,1.45189,0.83242,0.72533,0.78883,0.50553,1.18756,0.89757,1.51211,0.000272375,0.000272375,0.000272375
81,12451,1.04882,0.91982,1.45386,0.81889,0.73603,0.78532,0.51628,1.14025,0.89991,1.47941,0.00026,0.00026,0.00026
82,12605.3,1.0286,0.89889,1.4405,0.7525,0.76242,0.78501,0.51386,1.14396,0.89272,1.48325,0.000247625,0.000247625,0.000247625
83,12757.4,1.05138,0.89332,1.45167,0.8594,0.72664,0.79369,0.51436,1.16354,0.89269,1.47887,0.00023525,0.00023525,0.00023525
84,12911.9,1.02108,0.8883,1.4349,0.81134,0.75192,0.79676,0.51925,1.14209,0.87193,1.48752,0.000222875,0.000222875,0.000222875
85,13062.4,1.00943,0.87942,1.41943,0.84298,0.7096,0.78934,0.52264,1.14189,0.86441,1.48624,0.0002105,0.0002105,0.0002105
86,13215.2,0.99874,0.87506,1.42085,0.85024,0.74614,0.79532,0.51956,1.1399,0.85929,1.48316,0.000198125,0.000198125,0.000198125
87,13371.5,1.00572,0.85473,1.42543,0.8831,0.70159,0.79055,0.52489,1.12114,0.84614,1.47053,0.00018575,0.00018575,0.00018575
88,13528.4,1.004,0.86487,1.41905,0.82727,0.72916,0.79936,0.5232,1.13979,0.86762,1.47372,0.000173375,0.000173375,0.000173375
89,13682.9,1.00106,0.87132,1.41918,0.89983,0.7281,0.80114,0.52737,1.13302,0.858,1.47257,0.000161,0.000161,0.000161
90,13833.9,1.00762,0.88576,1.41363,0.89871,0.71814,0.80213,0.52926,1.12528,0.86809,1.46497,0.000148625,0.000148625,0.000148625
91,13985.6,1.01818,0.94659,1.41916,0.82238,0.73969,0.78531,0.50808,1.16112,0.90492,1.49365,0.00013625,0.00013625,0.00013625
92,14136.3,0.99472,0.85924,1.38794,0.8249,0.71541,0.78393,0.51476,1.15365,0.89417,1.49951,0.000123875,0.000123875,0.000123875
93,14287.5,0.97049,0.82719,1.38061,0.85746,0.73196,0.79869,0.51857,1.14325,0.87408,1.48523,0.0001115,0.0001115,0.0001115
94,14434.2,0.95999,0.8194,1.36731,0.87166,0.71883,0.80309,0.52624,1.13814,0.87245,1.4797,9.9125e-05,9.9125e-05,9.9125e-05
95,14585.9,0.9576,0.81401,1.37356,0.8567,0.73818,0.79838,0.5254,1.1301,0.86977,1.47072,8.675e-05,8.675e-05,8.675e-05
96,14738.4,0.93539,0.78423,1.35129,0.8915,0.73125,0.80457,0.52832,1.12584,0.86743,1.47112,7.4375e-05,7.4375e-05,7.4375e-05
97,14895.1,0.94158,0.79064,1.33751,0.86267,0.73142,0.79849,0.52326,1.1318,0.87447,1.47298,6.2e-05,6.2e-05,6.2e-05
98,15048.4,0.93944,0.78476,1.35446,0.86448,0.73084,0.80591,0.53012,1.12675,0.86407,1.46382,4.9625e-05,4.9625e-05,4.9625e-05
99,15199.2,0.9335,0.78431,1.36008,0.88574,0.72939,0.80963,0.52949,1.12395,0.85511,1.46442,3.725e-05,3.725e-05,3.725e-05
100,15353.4,0.91949,0.7781,1.33571,0.86569,0.73717,0.80519,0.52804,1.12505,0.85322,1.46441,2.4875e-05,2.4875e-05,2.4875e-05
