epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,10380.6,1.48952,1.41235,1.91038,0.74095,0.63668,0.67568,0.36944,1.57975,1.24555,1.87315,0.000470375,0.000470375,0.000470375
65,10545.5,1.47506,1.38464,1.8761,0.77432,0.64322,0.70065,0.38646,1.57992,1.17976,1.85653,0.000458,0.000458,0.000458
66,10709.9,1.44564,1.39003,1.86536,0.74013,0.64122,0.69599,0.38324,1.58435,1.20707,1.8719,0.000445625,0.000445625,0.000445625
67,10873.5,1.41482,1.34719,1.81468,0.78011,0.68304,0.72586,0.42242,1.49112,1.12908,1.76477,0.00043325,0.00043325,0.00043325
68,11030.9,1.46357,1.37957,1.87329,0.82922,0.66576,0.72868,0.40415,1.5252,1.16453,1.80014,0.000420875,0.000420875,0.000420875
69,11195,1.44177,1.36936,1.84695,0.76297,0.64569,0.71256,0.39365,1.57812,1.14682,1.83242,0.0004085,0.0004085,0.0004085
70,11361.3,1.45696,1.39476,1.85713,0.75361,0.65934,0.71096,0.39146,1.54235,1.18731,1.81032,0.000396125,0.000396125,0.000396125
71,11522.3,1.43828,1.41167,1.86175,0.81559,0.64149,0.73157,0.42498,1.47443,1.142,1.76752,0.00038375,0.00038375,0.00038375
72,11678,1.39476,1.3523,1.81673,0.78819,0.6474,0.71103,0.39627,1.57835,1.12542,1.82598,0.000371375,0.000371375,0.000371375
73,11841.1,1.44279,1.33733,1.85748,0.79913,0.66561,0.72827,0.41938,1.48534,1.12769,1.76916,0.000359,0.000359,0.000359
74,12002.8,1.43244,1.36106,1.83463,0.80707,0.66337,0.74172,0.42958,1.46343,1.12419,1.76102,0.000346625,0.000346625,0.000346625
75,12167.2,1.40731,1.31734,1.82389,0.76544,0.67354,0.72077,0.41369,1.5373,1.10626,1.82225,0.00033425,0.00033425,0.00033425
76,12324.4,1.41782,1.33078,1.83129,0.89123,0.63014,0.73979,0.41221,1.53743,1.14595,1.80401,0.000321875,0.000321875,0.000321875
77,12486.9,1.40141,1.31234,1.81088,0.80674,0.70359,0.74716,0.42775,1.47556,1.10205,1.75477,0.0003095,0.0003095,0.0003095
78,12649.6,1.41963,1.34592,1.82835,0.82522,0.69677,0.74881,0.43313,1.44668,1.08734,1.72602,0.000297125,0.000297125,0.000297125
79,12814.7,1.39759,1.3167,1.82211,0.76405,0.69654,0.74099,0.39917,1.57733,1.15286,1.85364,0.00028475,0.00028475,0.00028475
80,12972.1,1.41096,1.33321,1.82819,0.7927,0.68789,0.73829,0.43971,1.40719,1.08723,1.7115,0.000272375,0.000272375,0.000272375
81,13133.2,1.38303,1.2884,1.78057,0.79289,0.67321,0.73329,0.42999,1.433,1.11795,1.72028,0.00026,0.00026,0.00026
82,13294.4,1.38857,1.28969,1.80695,0.80644,0.67917,0.73627,0.39977,1.59438,1.0792,1.83201,0.000247625,0.000247625,0.000247625
83,13457.4,1.38593,1.31306,1.81259,0.79637,0.69429,0.74721,0.42844,1.48102,1.06484,1.75152,0.00023525,0.00023525,0.00023525
84,13612.7,1.38954,1.30148,1.81583,0.80244,0.6999,0.74952,0.4433,1.41941,1.06065,1.70498,0.000222875,0.000222875,0.000222875
85,13779.6,1.38822,1.32885,1.80245,0.84976,0.68015,0.75511,0.44404,1.4195,1.06349,1.69901,0.0002105,0.0002105,0.0002105
86,13942.3,1.38779,1.28661,1.79392,0.82486,0.71629,0.75805,0.43066,1.50482,1.05575,1.7746,0.000198125,0.000198125,0.000198125
87,14109.1,1.4057,1.329,1.83481,0.80157,0.67566,0.74817,0.44899,1.40674,1.08226,1.69413,0.00018575,0.00018575,0.00018575
